transaction_id,item_sku,region,transaction_date,unit_price,units_sold,card_number,cvv
14409,PROD-008,North,2023-01-01,119.48,17,2666855955638733,363
14362,PROD-097,East,2023-01-01,353.2,20,5698927445008082,556
12009,PROD-025,East,2023-01-01,75.97,66,5183619564326987,896
14147,PROD-041,West,2023-01-01,110.77,72,5746811710615397,421
12952,PROD-095,North,2023-01-01,68.94,73,6820810903858953,209
14860,PROD-074,South,2023-01-02,353.49,20,1170576175394497,996
12465,PROD-098,South,2023-01-02,178.06,31,5864996606233905,258
13375,PROD-095,East,2023-01-02,454.57,60,6341085685960569,384
10826,PROD-061,East,2023-01-02,29.38,93,6167441558550183,948
14322,PROD-001,South,2023-01-02,495.31,9,6550081134994031,517
13851,PROD-084,Central,2023-01-02,484.44,28,4476116969743875,158
10638,PROD-069,North,2023-01-03,435.42,6,4165472333860264,655
13498,PROD-031,Central,2023-01-03,187.9,47,3589868157826356,926
13006,PROD-048,East,2023-01-03,294.52,91,7710227798178021,884
10168,PROD-092,North,2023-01-03,317.39,83,4609015114918615,892
11550,PROD-025,North,2023-01-03,38.06,39,4959139362917627,460
12584,PROD-032,South,2023-01-03,45.16,6,8532262655505839,896
10862,PROD-062,South,2023-01-04,245.64,63,7208921127869190,644
13618,PROD-092,West,2023-01-04,248.89,96,4833899327409326,412
11867,PROD-066,Central,2023-01-04,182.88,38,4422466153584736,894
14636,PROD-043,East,2023-01-04,75.89,62,8006779152272562,546
11471,PROD-010,South,2023-01-05,223.34,40,3910763576475762,621
12919,PROD-094,East,2023-01-05,222.71,95,6304245075414819,504
14745,PROD-025,Central,2023-01-05,420.36,20,6424817827597732,390
10541,PROD-043,Central,2023-01-05,255.62,24,4299159774476937,644
10031,PROD-003,North,2023-01-05,278.66,42,4156241491053906,577
12601,PROD-015,Central,2023-01-05,385.37,25,1558699646233540,180
11670,PROD-048,West,2023-01-06,366.99,53,7906335442420241,667
13352,PROD-063,West,2023-01-06,43.41,77,6905788935878009,594
11317,PROD-093,North,2023-01-06,352.02,75,8767643567253982,793
13478,PROD-073,East,2023-01-06,309.48,90,7925894227234750,719
14880,PROD-040,South,2023-01-06,265.38,42,4133033092642562,731
12082,PROD-026,East,2023-01-06,278.79,74,8084649125891168,115
10938,PROD-018,East,2023-01-07,212.26,41,1578670991800719,952
10270,PROD-007,South,2023-01-07,143.14,49,6877807147435951,376
14602,PROD-005,South,2023-01-07,350.15,95,8861106221571842,705
12096,PROD-023,North,2023-01-09,208.45,25,4599545232476303,775
11519,PROD-014,Central,2023-01-09,254.41,10,5489040085149943,470
12577,PROD-014,South,2023-01-10,189.6,25,4338360535613760,765
13742,PROD-075,East,2023-01-10,94.28,44,3936565546125819,706
11294,PROD-000,Central,2023-01-10,111.47,35,6652793718367450,608
10236,PROD-074,West,2023-01-10,123.08,7,7804410691116137,385
13867,PROD-050,East,2023-01-10,422.17,97,3409556999701719,115
12243,PROD-035,North,2023-01-11,404.64,60,6019493010171563,203
11061,PROD-091,South,2023-01-11,59.54,23,6716042833612271,648
11222,PROD-021,East,2023-01-11,42.17,70,7618001599135665,543
14625,PROD-012,West,2023-01-11,225.72,93,1522068192233531,135
12772,PROD-024,West,2023-01-11,54.38,89,8903814632115028,441
12147,PROD-052,Central,2023-01-11,215.12,1,1475931487386478,324
10677,PROD-006,West,2023-01-12,438.52,53,2665332964105618,752
13196,PROD-014,West,2023-01-12,237.66,89,7139301445729280,512
11703,PROD-069,East,2023-01-12,196.01,100,5097673362750507,399
10801,PROD-031,Central,2023-01-13,162.58,52,7570035258827696,505
12932,PROD-080,West,2023-01-13,118.5,87,1671910266726845,591
13880,PROD-078,North,2023-01-13,476.93,41,3342481790361671,327
10263,PROD-074,Central,2023-01-14,396.92,44,7719428583538205,675
10992,PROD-075,West,2023-01-15,265.28,17,2454183622016239,516
10844,PROD-090,North,2023-01-15,429.44,46,7804110096721348,388
12048,PROD-060,West,2023-01-15,219.73,67,6635157774318560,372
14448,PROD-097,West,2023-01-15,403.97,10,3807220777792196,373
13405,PROD-092,Central,2023-01-15,382.86,71,4098921513495293,772
14948,PROD-018,South,2023-01-16,176.68,85,7049939095415738,575
13117,PROD-032,Central,2023-01-16,343.6,84,7055052061887825,504
14106,PROD-000,East,2023-01-16,401.83,79,2820267659431801,818
14669,PROD-068,West,2023-01-17,435.66,59,8490211687566908,422
13631,PROD-068,South,2023-01-17,266.79,33,3837356239488653,261
10703,PROD-017,South,2023-01-17,329.46,62,1958909789351707,220
14586,PROD-033,North,2023-01-17,67.56,63,5520947949547105,427
11367,PROD-050,Central,2023-01-18,106.1,32,2837439140556202,823
14062,PROD-032,South,2023-01-18,253.09,30,1535358583495871,772
12204,PROD-059,North,2023-01-18,249.36,98,8286484817998809,202
14083,PROD-067,North,2023-01-18,110.9,92,8480911907978789,441
10155,PROD-028,Central,2023-01-18,462.18,65,2273302737760301,736
14479,PROD-076,Central,2023-01-18,113.12,92,4762684424096748,836
13952,PROD-002,Central,2023-01-18,349.7,77,7125858970116427,320
12081,PROD-068,Central,2023-01-19,46.83,82,5062974512898986,703
12556,PROD-082,North,2023-01-19,376.73,32,2003221943014818,944
12721,PROD-009,North,2023-01-19,362.32,38,1472308870467003,981
13596,PROD-078,East,2023-01-19,195.09,87,6598931009738484,504
13568,PROD-076,North,2023-01-19,437.98,71,5703778290474158,579
10049,PROD-002,East,2023-01-20,471.15,72,8122866758092645,577
11439,PROD-053,North,2023-01-20,205.55,28,8218869929974774,294
14131,PROD-044,Central,2023-01-20,459.98,89,8757788920350405,416
11576,PROD-047,East,2023-01-20,131.56,98,5724157738654168,954
12600,PROD-098,Central,2023-01-20,19.72,58,5135649730140688,857
14833,PROD-080,North,2023-01-21,402.96,23,2733262342138329,834
13294,PROD-016,East,2023-01-21,359.6,36,5322054679757765,155
11207,PROD-018,Central,2023-01-22,344.42,58,5175772581649712,858
14157,PROD-087,East,2023-01-22,474.21,15,4370747510830502,913
12789,PROD-016,West,2023-01-22,470.23,11,7749945723155554,277
13630,PROD-040,East,2023-01-22,169.09,62,7435428881847854,968
10373,PROD-037,East,2023-01-22,350.2,32,5072149488551624,407
13544,PROD-020,East,2023-01-22,76.3,34,5193284867659826,746
12312,PROD-006,West,2023-01-22,182.9,27,8880657944405185,292
14481,PROD-019,Central,2023-01-22,158.33,45,4127776664442476,979
12742,PROD-096,East,2023-01-23,148.4,55,8570591998152550,501
13008,PROD-061,Central,2023-01-23,95.4,35,6358840773986975,102
12913,PROD-096,North,2023-01-23,188.52,100,4375950908392516,502
10279,PROD-085,North,2023-01-23,185.72,59,5339570010191441,315
11514,PROD-093,South,2023-01-23,490.05,20,2767379944281031,534
10352,PROD-035,West,2023-01-24,210.94,98,3084438546722932,500
13195,PROD-078,South,2023-01-24,358.08,54,6048891842039253,407
13609,PROD-036,West,2023-01-24,290.96,42,5116439589926346,103
14599,PROD-043,West,2023-01-24,17.88,3,8857974103124927,415
13189,PROD-045,Central,2023-01-24,223.57,3,3206882262771837,440
14953,PROD-074,East,2023-01-24,494.58,35,8392799112664864,273
14419,PROD-065,East,2023-01-24,285.64,39,6568142079745413,343
12451,PROD-021,East,2023-01-24,494.06,9,2668185774451138,180
10624,PROD-019,North,2023-01-25,382.91,73,8308639642163317,700
13026,PROD-035,Central,2023-01-25,373.15,99,1067345147480756,137
11496,PROD-021,Central,2023-01-25,401.6,19,8730173936087931,796
11806,PROD-016,East,2023-01-25,265.92,13,7888433961320464,610
10384,PROD-087,East,2023-01-26,486.17,5,8099426178606927,778
12989,PROD-047,Central,2023-01-26,105.76,97,3951181929985652,583
13295,PROD-017,South,2023-01-26,270.73,85,3703070288156860,151
13928,PROD-078,Central,2023-01-26,85.64,97,6890627956842113,107
13746,PROD-018,Central,2023-01-26,162.12,77,4253129603551664,690
14312,PROD-038,West,2023-01-27,198.02,38,6957216067827116,743
12801,PROD-064,South,2023-01-27,54.26,68,3373771259627447,865
12140,PROD-033,West,2023-01-27,51.4,20,2696589567060714,531
14779,PROD-032,East,2023-01-27,367.62,3,2423056661582994,759
11001,PROD-072,North,2023-01-28,435.16,46,3531192189943216,602
11388,PROD-027,South,2023-01-28,222.95,26,1852327562186682,424
11515,PROD-033,Central,2023-01-28,478.77,32,2136922145450650,689
14542,PROD-032,South,2023-01-28,256.62,92,7239239516714560,965
14758,PROD-074,Central,2023-01-28,437.39,74,6395209546751256,291
10418,PROD-055,North,2023-01-28,64.14,54,2944316612692292,358
11044,PROD-050,East,2023-01-28,367.21,29,6114137876027564,646
13636,PROD-025,Central,2023-01-29,250.47,29,5678222316518271,615
10695,PROD-051,North,2023-01-29,137.43,48,3630154912569046,588
13781,PROD-048,North,2023-01-29,29.47,11,7470429441397587,308
12873,PROD-093,East,2023-01-29,498.75,71,3598864343827430,183
10641,PROD-066,South,2023-01-29,277.48,25,1752721428060834,505
12184,PROD-039,South,2023-01-29,184.75,47,5259005283808143,247
12272,PROD-069,North,2023-01-30,13.53,54,7721042924583537,857
10188,PROD-014,Central,2023-01-30,437.99,59,6933026484456137,414
11158,PROD-025,West,2023-01-30,184.82,83,4572741145918170,978
13337,PROD-012,West,2023-01-30,138.41,85,3699055571843775,572
13788,PROD-096,East,2023-01-30,101.53,90,8859748761099984,464
10981,PROD-065,Central,2023-01-31,437.83,90,5404440834748703,982
11014,PROD-083,West,2023-01-31,366.77,13,8289903550813033,669
11456,PROD-031,West,2023-01-31,25.1,17,4612754621945382,738
14226,PROD-072,Central,2023-01-31,166.17,69,1764027288603868,737
11240,PROD-044,Central,2023-01-31,34.55,45,8302945192166112,967
13754,PROD-022,West,2023-01-31,25.57,83,1300972313907971,721
12084,PROD-001,Central,2023-02-01,110.44,14,8644555943035660,196
10143,PROD-029,East,2023-02-01,456.45,37,5881333916694626,581
13775,PROD-087,North,2023-02-01,315.94,82,5087040707794702,816
10261,PROD-075,South,2023-02-01,134.13,95,7870998042846244,512
11083,PROD-012,East,2023-02-02,90.04,79,3325953990943136,643
10175,PROD-018,North,2023-02-02,492.05,22,2698389381384025,928
11958,PROD-011,North,2023-02-02,312.45,6,8415355860908957,421
13188,PROD-019,East,2023-02-02,414.17,76,1031416318787563,584
12256,PROD-093,South,2023-02-02,287.31,23,3030105307531565,650
13031,PROD-001,North,2023-02-02,135.15,26,4569875574395588,632
10828,PROD-016,East,2023-02-02,449.3,40,5908746533106100,538
12202,PROD-088,East,2023-02-03,452.21,17,4704102842381803,532
11015,PROD-020,South,2023-02-04,393.36,95,1292926930287855,583
11345,PROD-071,West,2023-02-05,422.19,76,7001246361368950,924
10285,PROD-060,South,2023-02-05,389.71,71,4453329609200519,734
14680,PROD-070,Central,2023-02-06,255.62,75,6750042881025813,677
14628,PROD-009,South,2023-02-06,366.96,58,8468858093618326,718
12304,PROD-088,East,2023-02-06,257.68,56,4870394438037685,972
12029,PROD-017,South,2023-02-06,443.36,22,3978561885698512,254
11845,PROD-093,West,2023-02-06,370.35,52,6993371307497988,338
11507,PROD-002,East,2023-02-06,212.73,11,4826747407055867,291
10579,PROD-021,East,2023-02-06,84.38,71,8765205124708374,728
14034,PROD-063,South,2023-02-07,279.8,14,2622838229668240,591
14727,PROD-017,Central,2023-02-07,399.95,63,7140979357560465,143
13579,PROD-042,South,2023-02-07,89.78,92,6700545357786468,818
13649,PROD-002,North,2023-02-08,160.67,54,5121106876556958,974
12311,PROD-031,West,2023-02-08,199.15,35,3982353611880477,216
13457,PROD-065,South,2023-02-08,406.26,4,7346876947845491,502
